match_id,match_time,bo,team1_id,team1,team2_id,team2,event_id,event_name,event_logo,event_start_time,event_end_time,score1,score2,status
csgo_mc_2393427,2026-04-25 20:00:00,3,csgo_tm_10577,SINNERS,hltv_team_13681,Inner Circle Academy,csgo_tt_9036,LORGAR排名赛 S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d6irdq4conkpudhr3mv0.webp,2026-04-25 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393504,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393505,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393506,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393507,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393508,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393509,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393510,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393511,2026-04-25 21:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393392,2026-04-25 21:45:00,3,,TBD,,TBD,csgo_tt_9139, CCT 2026 挑战者 欧洲 第1季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d7hdg6cconkpudhr49tg.png,2026-04-18 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393419,2026-04-25 22:00:00,3,,TBD,,TBD,csgo_tt_8956,CCT 全球总决赛 2026,https://oss.5eplay.com/sport/csgo/event/7517.png,2026-04-24 18:00:00,2026-04-26 18:00:00,0,0,0
csgo_mc_2393197,2026-04-25 22:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
csgo_mc_2393428,2026-04-25 23:00:00,3,hltv_team_13404,Gentle Mates,hltv_team_13333,ASTRAL,csgo_tt_9036,LORGAR排名赛 S1,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d6irdq4conkpudhr3mv0.webp,2026-04-25 00:00:00,2026-04-26 23:59:59,0,0,0
csgo_mc_2393420,2026-04-26 01:00:00,3,,TBD,,TBD,csgo_tt_8956,CCT 全球总决赛 2026,https://oss.5eplay.com/sport/csgo/event/7517.png,2026-04-24 18:00:00,2026-04-26 18:00:00,0,0,0
csgo_mc_2393198,2026-04-26 01:00:00,3,,TBD,,TBD,csgo_tt_9120,NODWIN Clutch 系列 7,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d3aacfcconkqbk3bnqo0.png,2026-04-14 00:00:00,2026-04-28 06:00:00,0,0,0
csgo_mc_2393512,2026-04-26 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393514,2026-04-26 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
csgo_mc_2393513,2026-04-26 01:00:00,3,,TBD,,TBD,csgo_tt_9129, ESL 挑战者联赛 S51 欧洲杯 第4季,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/d2jeda4conkqbk3bnkm0.png,2026-04-22 00:00:00,2026-05-04 06:00:00,0,0,0
