match_id,map_index,map_name,team1_score,team2_score,winner_side,winner_team_id,winner_team_name,fetched_at
csgo_mc_2374716,2,Vertigo,16,12,t1,csgo_tm_5005,COL,2026-04-22 15:11:11
csgo_mc_2374717,1,Anubis,13,11,t1,csgo_tm_5378,VP,2026-04-22 15:11:12
csgo_mc_2374717,2,Dust2,13,8,t1,csgo_tm_5378,VP,2026-04-22 15:11:12
csgo_mc_2374718,1,Mirage,6,13,t2,csgo_tm_9928,GL,2026-04-22 15:11:06
csgo_mc_2374718,2,Nuke,13,7,t1,csgo_tm_7532,BIG,2026-04-22 15:11:06
csgo_mc_2374718,3,Dust2,13,6,t1,csgo_tm_7532,BIG,2026-04-22 15:11:06
csgo_mc_2374719,1,Nuke,8,13,t2,csgo_tm_4773,paiN,2026-04-22 15:11:07
csgo_mc_2374719,2,Mirage,9,13,t2,csgo_tm_4773,paiN,2026-04-22 15:11:07
csgo_mc_2374720,1,Dust2,17,19,t2,hltv_team_12586,AMKAL,2026-04-22 15:11:06
csgo_mc_2374720,2,Vertigo,13,0,t1,csgo_tm_10503,OG,2026-04-22 15:11:06
csgo_mc_2374720,3,Inferno,13,6,t1,csgo_tm_10503,OG,2026-04-22 15:11:06
csgo_mc_2374721,1,Nuke,13,6,t1,csgo_tm_5005,COL,2026-04-22 15:11:06
csgo_mc_2374721,2,Vertigo,10,13,t2,csgo_tm_11283,Falcons,2026-04-22 15:11:06
csgo_mc_2374721,3,Anubis,5,13,t2,csgo_tm_11283,Falcons,2026-04-22 15:11:06
csgo_mc_2374722,1,Anubis,13,5,t1,csgo_tm_6667,FaZe,2026-04-22 15:11:06
csgo_mc_2374722,2,Inferno,14,16,t2,csgo_tm_4773,paiN,2026-04-22 15:11:06
csgo_mc_2374722,3,Mirage,13,5,t1,csgo_tm_6667,FaZe,2026-04-22 15:11:06
csgo_mc_2374723,1,Ancient,16,19,t2,csgo_tm_7532,BIG,2026-04-22 15:11:06
csgo_mc_2374723,2,Mirage,13,7,t1,csgo_tm_5378,VP,2026-04-22 15:11:06
csgo_mc_2374723,3,Dust2,13,10,t1,csgo_tm_5378,VP,2026-04-22 15:11:06
