player_id,metric,value,avg_value,lower_better,bad_start,bad_end,middle_start,middle_end,good_start,good_end
csgo_pl_21163,kast,73.2,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_21163,kpr,0.62,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_21163,rating,1.07,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21163,swing,+0.12%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_22047,adr,67.6,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_22047,dpr,0.60,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_22047,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22047,kast,72.9,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_22047,kpr,0.67,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_22047,rating,1.05,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_22047,swing,+0.28%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_21983,adr,67.6,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_21983,dpr,0.69,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_21983,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21983,kast,70.3,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_21983,kpr,0.61,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_21983,rating,0.99,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21983,swing,-0.91%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_21239,adr,75.2,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_21239,dpr,0.59,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_21239,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21239,kast,73.8,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_21239,kpr,0.75,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_21239,rating,1.18,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_21239,swing,+1.53%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_9254,adr,77.0,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_9254,dpr,0.66,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_9254,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_9254,kast,72.7,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_9254,kpr,0.69,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_9254,rating,1.17,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_9254,swing,+1.01%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_18749,adr,74.0,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_18749,dpr,0.65,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_18749,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_18749,kast,74.5,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_18749,kpr,0.68,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_18749,rating,1.09,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_18749,swing,-0.07%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_8371,adr,72.0,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_8371,dpr,0.63,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_8371,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_8371,kast,72.6,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
csgo_pl_8371,kpr,0.65,0.67,False,0.64,0.55,0.71,0.65,0.80,0.72
csgo_pl_8371,rating,1.09,1.07,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_8371,swing,+0.33%,+-0.00%,False,-0.346,-2.5,0.715,-0.345,4.0,0.716
csgo_pl_19509,adr,71.2,72.8,False,72.5,64.0,80.7,72.6,88.5,80.8
csgo_pl_19509,dpr,0.66,0.67,True,0.71,0.75,0.66,0.70,0.60,0.65
csgo_pl_19509,impact,0.00,0.00,False,0.96,0.80,1.13,0.97,1.30,1.14
csgo_pl_19509,kast,72.1,71.3,False,66.6,59.0,72.7,66.7,79.0,72.8
