event_id,event_name,event_logo,grade,grade_label,special_grade_label,status,start_time,end_time,bonus,city_name,mode,cover
csgo_tt_7273,IEM 悉尼 2023 欧洲 公开预选赛 2,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjarfdkconkqks63ao40.png,6,资格赛B级,,past,2023-08-11 00:00:00,2023-08-12 23:59:59,前二晋级封闭预选赛,欧洲线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7342,CCT 北欧系列赛 7,https://oss.5eplay.com/sport/csgo/event/7342.png,4,B级赛事,,past,2023-08-14 18:00:00,2023-08-28 18:00:00,"$50,000",北欧，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
cg_tt_manual_52,ESL 挑战者联赛 S46 亚太区小组赛,https://oss.5eplay.com/sport/csgo/event/7183.png,4,B级赛事,,past,2023-08-15 00:00:00,2023-11-22 23:59:59,"$40,000",亚洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7287,ESL 挑战者联赛 S46 北美区,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjarf7sconkqks63ao30.png,4,B级赛事,,past,2023-08-15 00:00:00,2023-12-11 23:59:59,"$100,000",北美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7128,Gamers8 2023,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjar0fkconkqks63anp0.png,2,S级赛事,S级赛事,past,2023-08-16 00:00:00,2023-08-21 23:59:59,"$1,000,000",沙特阿拉伯，利雅得,2,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7345,CBCS 大师赛 2023,https://oss.5eplay.com/sport/csgo/event/7345.png,4,B级赛事,,past,2023-08-17 18:00:00,2023-08-28 18:00:00,"$40,000",南美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7332,TP 世界锦标赛 2023 北美 S2,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjs3q6kconkqks63b630.png,4,B级赛事,,past,2023-08-21 00:00:00,2023-08-30 23:59:59,"$25,000",北美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7360,CCT 南美系列赛 10,https://oss.5eplay.com/sport/csgo/event/7360.png,4,B级赛事,,past,2023-08-21 00:00:00,2023-09-04 23:59:59,"$25,000",南美，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7283,IEM 悉尼 2023 大洋洲 封闭预选赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjarevsconkqks63ao2g.png,6,资格赛B级,,past,2023-08-22 00:00:00,2023-08-23 23:59:59,晋级IEM 悉尼 2023,大洋洲线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
csgo_tt_7274,IEM 悉尼 2023 欧洲 封闭预选赛,https://oss.5eplay.com/cloudx/p/sport/csgo/tournament/cjareu4conkqks63ao20.png,9,资格赛A级,资格赛A级,past,2023-08-23 18:00:00,2023-08-25 18:00:00,前二晋级IEM 悉尼 2023,欧洲，线上,1,https://oss.5eplay.com/cloudx/p/gamedata/csgo/csgo_default_cover.png
