team_id,team_name,region,team_logo,source,fetched_at
kabum,KaBuM!,LTA,https://static.lolesports.com/teams/1671197541491_LOGO-KABUM-ESPORTS-2023-NEGATIVO-FUNDOPRETO.png,lolesports,2026-05-01 18:31:43
intz,INTZ,LTA,https://static.lolesports.com/teams/1770801521472_LOGOINTZ2026COMESTRELAS.png,lolesports,2026-05-01 18:31:43
mgn_blue_esports,MGN Blue Esports,VCS,https://static.lolesports.com/teams/1704187570236_Iconwhite.png,lolesports,2026-05-01 18:31:44
cerberus_esports,CERBERUS ESPORTS,VCS,https://static.lolesports.com/teams/1636526090059_900px-CERBERUS_Esports.png,lolesports,2026-05-01 18:31:44
saigon_secret,Saigon Secret,VCS,https://static.lolesports.com/teams/1656693717651_TS.png,lolesports,2026-05-01 18:31:44
tp_hcm_team_flash,TP.HCM Team Flash,VCS,https://static.lolesports.com/teams/1737109056884_logoteamflash.png,lolesports,2026-05-01 18:31:44
tp_hcm_sn_cybercore_esports,TP.HCM SN CyberCore Esports,VCS,https://static.lolesports.com/teams/1739952109504_image11.png,lolesports,2026-05-01 18:31:44
saigon_hyper_vortex_esports,Saigon Hyper Vortex Esports,VCS,https://static.lolesports.com/teams/1737114615996_HyperVortex_Logo.png,lolesports,2026-05-01 18:31:44
saigon_silent_storm_esports,Saigon Silent Storm Esports,VCS,https://static.lolesports.com/teams/1739952979628_ssd.png,lolesports,2026-05-01 18:31:44
hanoi_rookies_esports,Hanoi Rookies Esports,VCS,https://static.lolesports.com/teams/1739952476212_gdgd.png,lolesports,2026-05-01 18:31:44
vungtau_never_give_up,Vungtau Never Give Up,VCS,https://static.lolesports.com/teams/1739952836188_sdsd.png,lolesports,2026-05-01 18:31:44
hanoi_genz_gaming,Hanoi Genz Gaming,VCS,https://static.lolesports.com/teams/1747645507867_HanoiGenZGaming.png,lolesports,2026-05-01 18:31:44
saigon_mvke_academy,Saigon MVKE Academy,VCS,https://static.lolesports.com/teams/1771230115237_Orange_Black_Logo.png,lolesports,2026-05-01 18:31:44
tp_hcm_mila_gaming,TP.HCM Mila Gaming,VCS,https://static.lolesports.com/teams/1747645308500_TPHCM_Mila_Gaming-removebg-preview.png,lolesports,2026-05-01 18:31:44
saigon_warrior,Saigon Warrior,VCS,https://static.lolesports.com/teams/1771230875226_logo_SW-removebg-preview.png,lolesports,2026-05-01 18:31:44
hanoi_ngua_hi_esport,Hanoi Ngua Hi Esport,VCS,https://static.lolesports.com/teams/1771230820204_logo_nga_h_trng-removebg-preview.png,lolesports,2026-05-01 18:31:44
saigon_9gaming,Saigon 9Gaming,VCS,https://static.lolesports.com/teams/1771230747972_9Gaming_Ngang_Vng_en.png,lolesports,2026-05-01 18:31:44
rainbow_warriors,Rainbow Warriors,VCS,https://static.lolesports.com/teams/1704187753784_Logo7.png,lolesports,2026-05-01 18:31:44
sbtc_esports,SBTC ESPORTS,VCS,https://static.lolesports.com/teams/1656693279140_LOGOFINALKHNGCH-13.png,lolesports,2026-05-01 18:31:44
ctbc_flying_oyster_academy,CTBC Flying Oyster Academy,PCS,https://static.lolesports.com/teams/1738762962228_1000_CFOA-FlyingOyster.png,lolesports,2026-05-01 18:31:47
frank_esports,Frank Esports,PCS,https://static.lolesports.com/teams/1656308269827_220621_FRANK_Final_Logo_W.png,lolesports,2026-05-01 18:31:47
hellpigs,HELLPIGS,PCS,https://static.lolesports.com/teams/1674036338265_HPS_W.png,lolesports,2026-05-01 18:31:47
wangting,WangTing,PCS,https://static.lolesports.com/teams/1743677704612_logotemplatka321.png,lolesports,2026-05-01 18:31:47
west_point_esports,West Point Esports,PCS,https://static.lolesports.com/teams/1686826980767_WPE_Full.png,lolesports,2026-05-01 18:31:47
psg_talon_academy,PSG TALON ACADEMY,PCS,https://static.lolesports.com/teams/1753103726428_PSG_TALON_COLOR.png,lolesports,2026-05-01 18:31:47
xu_ji_basalt,Xu Ji Basalt,PCS,https://static.lolesports.com/teams/1776612442639_PCS2026_TeamLogo_XJB.png,lolesports,2026-05-01 18:31:47
sillysilly_gaming,SillySilly Gaming,PCS,https://static.lolesports.com/teams/1776611820872_PCS2026_TeamLogo_SSG.png,lolesports,2026-05-01 18:31:47
one_round_specialists,One Round Specialists,PCS,https://static.lolesports.com/teams/1776612758480_PCS2026_TeamLogo_ORS.png,lolesports,2026-05-01 18:31:47
shadow_keepers_esports,Shadow Keepers Esports,PCS,https://static.lolesports.com/teams/1776612870437_PCS2026_TeamLogo_SHKP.png,lolesports,2026-05-01 18:31:47
equinox_core,Equinox Core,PCS,https://static.lolesports.com/teams/1776612306804_PCS2026_TeamLogo_EQX.png,lolesports,2026-05-01 18:31:47
gz_academy,GZ Academy,PCS,https://static.lolesports.com/teams/1776611990170_PCS2026_TeamLogo_GZ.png,lolesports,2026-05-01 18:31:47
viper_night_raider,Viper Night Raider,PCS,https://static.lolesports.com/teams/1776612679723_PCS2026_TeamLogo_VNR.png,lolesports,2026-05-01 18:31:47
j_team,J Team,PCS,https://static.lolesports.com/teams/1592588569647_JTeamJT-01-FullonDark.png,lolesports,2026-05-01 18:31:47
team_bliss,Team Bliss,PCS,https://static.lolesports.com/teams/1673594389871_TeamBlissUpdated.png,lolesports,2026-05-01 18:31:47
hungkuang_falcon,Hungkuang Falcon,PCS,https://static.lolesports.com/teams/1738763195874_t88487.png,lolesports,2026-05-01 18:31:47
beyond_gaming,Beyond Gaming,PCS,https://static.lolesports.com/teams/1686826371701_beyondGaming_logo_W.png,lolesports,2026-05-01 18:31:47
v3_esports,V3 Esports,PCS,https://static.lolesports.com/teams/v3_500x500.png,lolesports,2026-05-01 18:31:47
