player_id,player_slug,player_name,team_abbrev,country,agents,rounds,rating,acs,kd,kast,adr,kpr,apr,fkpr,fdpr,hs_pct,cl_pct,clutches,kmax,kills,deaths,assists,first_kills,first_deaths,source,source_url,fetched_at
49828,nyat,nyat,,GR,yoru|astra|chamber,290,0.72,169.6,0.71,58%,111.2,0.59,0.20,0.13,0.18,23%,17%,2/12,24,170,238,58,38,51,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
24207,lthew,Lthew,Gree,PE,skye|fade|tejo,219,0.72,149.6,0.77,63%,97.0,0.58,0.20,0.09,0.16,30%,7%,1/15,20,126,163,43,20,35,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
5009,love,LOVE,DUPG,IN,astra|yoru|viper,210,0.72,148.3,0.68,59%,101.3,0.54,0.19,0.08,0.16,33%,22%,5/23,18,113,165,40,17,33,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
41552,doozy,doozy,DP,TR,waylay|jett|neon,208,0.72,183.9,0.76,56%,116.7,0.64,0.13,0.17,0.23,17%,,0/16,21,133,176,27,36,47,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
43408,garv,Garv,GEA,IN,skye|sova|fade,259,0.71,163.1,0.71,64%,106.9,0.58,0.18,0.10,0.08,26%,6%,2/33,17,151,214,47,26,21,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
51177,so1o,so1o,,UN,chamber|viper|cypher,222,0.71,145.2,0.70,62%,101.8,0.51,0.14,0.09,0.12,29%,15%,5/34,22,114,162,32,19,27,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
37160,deathblade,DeathBlade,,AU,yoru|iso|raze,200,0.71,172.3,0.67,61%,115.2,0.56,0.23,0.14,0.15,21%,18%,4/22,16,111,165,45,27,29,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
4969,shazeon,Shazeon,ATN,DE,sova|skye|fade,359,0.71,156.2,0.65,62%,102.8,0.50,0.30,0.08,0.10,23%,13%,4/32,21,180,278,106,28,36,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
16012,akira,Akira,Bunk,PT,brimstone|sova|harbor,265,0.68,128.7,0.56,61%,88.0,0.45,0.38,0.03,0.08,31%,6%,2/36,17,118,212,102,8,22,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
31276,rehn,rehn,LEO,SE,waylay|raze|neon,299,0.66,176.6,0.69,58%,112.9,0.59,0.13,0.16,0.22,29%,19%,4/21,19,177,257,39,47,67,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
25491,karsen,Karsen,TITA,PH,waylay|neon|reyna,234,0.66,172.0,0.65,61%,115.7,0.57,0.23,0.13,0.19,25%,11%,2/18,20,133,204,54,30,45,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
17294,hybr1d,HyBr1D,DUPG,IN,fade|viper|brimstone,210,0.63,129.8,0.54,60%,84.8,0.44,0.26,0.05,0.06,25%,3%,1/39,17,92,170,54,10,12,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
63162,mako,mako,,UN,neon|cypher|waylay,319,0.61,162.7,0.67,57%,99.2,0.57,0.18,0.14,0.22,17%,6%,1/18,21,181,272,56,44,71,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
51464,densi,Densi,,AU,deadlock|omen|brimstone,208,0.61,124.3,0.48,63%,84.2,0.38,0.35,0.03,0.11,31%,18%,5/28,15,80,165,72,7,22,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
17399,lami,Lami,SWAG,GB,viper|chamber|cypher,324,0.59,129.3,0.58,55%,92.7,0.45,0.15,0.03,0.12,23%,5%,2/39,18,145,252,47,10,38,vlr_experiment,https://www.vlr.gg/stats,2026-05-05 01:23:35
